epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.094,2.18448,2.98601,1.81267,0.36108,0.25053,0.20325,0.08263,2.24955,2.53877,1.87144,0.000415168,0.000415168,0.000415168
2,266.411,2.05614,2.35861,1.71718,0.37845,0.25744,0.19795,0.08148,2.16629,2.38315,1.81642,0.000823599,0.000823599,0.000823599
3,377.977,2.00087,2.2213,1.70847,0.29719,0.24228,0.20304,0.08964,2.07773,2.16816,1.73403,0.00122378,0.00122378,0.00122378
4,470.124,1.97009,2.13958,1.68363,0.33215,0.26172,0.21339,0.0845,2.09943,2.17725,1.75735,0.00121287,0.00121287,0.00121287
5,566.582,1.93386,2.04874,1.65299,0.41392,0.31409,0.26822,0.11087,2.09054,1.94522,1.72056,0.0012005,0.0012005,0.0012005
6,689.111,1.89385,1.97871,1.62454,0.48907,0.2977,0.2978,0.12992,1.96616,1.90614,1.62749,0.00118812,0.00118812,0.00118812
7,781.463,1.86229,1.91519,1.61057,0.44881,0.32842,0.31851,0.13782,1.91883,1.79434,1.60596,0.00117575,0.00117575,0.00117575
8,877.113,1.85615,1.8835,1.59524,0.39786,0.33985,0.31475,0.1387,1.91714,1.80466,1.58189,0.00116337,0.00116337,0.00116337
9,972.783,1.8119,1.8291,1.567,0.4473,0.35898,0.35158,0.15689,1.87808,1.7603,1.58115,0.001151,0.001151,0.001151
10,1066.37,1.79259,1.79074,1.54873,0.45547,0.39573,0.34035,0.15422,1.84535,1.62407,1.54967,0.00113863,0.00113863,0.00113863
11,1163,1.76727,1.74042,1.53002,0.46538,0.35335,0.34122,0.15284,1.83335,1.63985,1.54103,0.00112625,0.00112625,0.00112625
12,1259.94,1.77261,1.72051,1.53105,0.45474,0.33376,0.32359,0.14977,1.80054,1.65884,1.51655,0.00111388,0.00111388,0.00111388
13,1354.27,1.74582,1.71105,1.5152,0.48367,0.3589,0.35795,0.1733,1.81886,1.64399,1.55574,0.0011015,0.0011015,0.0011015
14,1448.27,1.73234,1.67344,1.49989,0.51339,0.35138,0.36303,0.17347,1.81244,1.60798,1.51048,0.00108913,0.00108913,0.00108913
15,1542.23,1.72822,1.66627,1.50062,0.5749,0.37543,0.39201,0.18476,1.79395,1.57132,1.52766,0.00107675,0.00107675,0.00107675
16,1636.19,1.72449,1.65731,1.49369,0.56251,0.36821,0.39562,0.18588,1.79399,1.55906,1.51374,0.00106437,0.00106437,0.00106437
17,1729.91,1.70947,1.61757,1.47926,0.5541,0.40023,0.42617,0.19631,1.7819,1.49039,1.49877,0.001052,0.001052,0.001052
18,1824.36,1.69889,1.5958,1.47837,0.6046,0.38077,0.43487,0.1969,1.80298,1.49512,1.49578,0.00103962,0.00103962,0.00103962
19,1918.38,1.68204,1.58069,1.46435,0.49688,0.39117,0.39942,0.18301,1.78959,1.49577,1.49479,0.00102725,0.00102725,0.00102725
20,2012.3,1.68988,1.57904,1.4614,0.55804,0.376,0.41531,0.18785,1.74168,1.48006,1.4699,0.00101488,0.00101488,0.00101488
21,2105.79,1.67677,1.55752,1.45424,0.51527,0.40953,0.42414,0.20332,1.72052,1.41187,1.43222,0.0010025,0.0010025,0.0010025
22,2199.58,1.65283,1.52784,1.44641,0.58001,0.40574,0.42379,0.20792,1.74236,1.44482,1.45115,0.000990125,0.000990125,0.000990125
23,2293.52,1.67841,1.55145,1.45224,0.55879,0.41703,0.43834,0.21646,1.74147,1.43475,1.459,0.00097775,0.00097775,0.00097775
24,2400.38,1.62733,1.50995,1.43109,0.50545,0.38937,0.41722,0.2014,1.73318,1.41547,1.45058,0.000965375,0.000965375,0.000965375
25,2494.18,1.62598,1.51373,1.42692,0.49654,0.43808,0.43071,0.21638,1.6803,1.40576,1.41352,0.000953,0.000953,0.000953
26,2587.84,1.63001,1.48483,1.42072,0.53294,0.41655,0.43879,0.20921,1.72905,1.37545,1.43999,0.000940625,0.000940625,0.000940625
27,2681.09,1.62092,1.47406,1.4213,0.5638,0.4002,0.42301,0.19948,1.7258,1.43478,1.42985,0.00092825,0.00092825,0.00092825
28,2774.98,1.59166,1.45247,1.40321,0.52864,0.42706,0.4377,0.21119,1.70225,1.39515,1.43794,0.000915875,0.000915875,0.000915875
29,2868.82,1.61545,1.47293,1.41315,0.59216,0.40871,0.43853,0.20746,1.69371,1.35507,1.40059,0.0009035,0.0009035,0.0009035
30,2962.37,1.61254,1.4557,1.40955,0.57437,0.43497,0.45868,0.22097,1.67184,1.36361,1.41387,0.000891125,0.000891125,0.000891125
31,3056.81,1.60215,1.42711,1.41086,0.56201,0.40771,0.42815,0.20925,1.70559,1.38505,1.40882,0.00087875,0.00087875,0.00087875
32,3150.52,1.58895,1.43004,1.40239,0.5246,0.44475,0.43213,0.20491,1.67816,1.35561,1.41714,0.000866375,0.000866375,0.000866375
33,3244.69,1.59494,1.44851,1.40471,0.60831,0.38521,0.45758,0.22559,1.68775,1.32638,1.41979,0.000854,0.000854,0.000854
34,3338.4,1.58459,1.41648,1.3936,0.53373,0.41432,0.42232,0.2001,1.67522,1.3469,1.39895,0.000841625,0.000841625,0.000841625
35,3432.07,1.59448,1.41306,1.39205,0.54614,0.44579,0.46107,0.22344,1.70129,1.3276,1.42314,0.00082925,0.00082925,0.00082925
36,3549.43,1.57957,1.38462,1.38106,0.57517,0.44227,0.45832,0.21284,1.69188,1.35294,1.42154,0.000816875,0.000816875,0.000816875
37,3642.69,1.5752,1.39417,1.38342,0.61705,0.4254,0.46664,0.22325,1.64235,1.30949,1.37689,0.0008045,0.0008045,0.0008045
38,3736.48,1.56215,1.38172,1.37326,0.60952,0.43902,0.46829,0.22841,1.64874,1.29532,1.39483,0.000792125,0.000792125,0.000792125
39,3829.91,1.57023,1.3729,1.37277,0.58044,0.42709,0.44621,0.21788,1.66568,1.32653,1.40301,0.00077975,0.00077975,0.00077975
40,3923.49,1.54339,1.34226,1.3638,0.66081,0.43473,0.48336,0.24437,1.67514,1.2776,1.40288,0.000767375,0.000767375,0.000767375
41,4017.88,1.55653,1.35482,1.37307,0.69605,0.40116,0.48356,0.2359,1.66037,1.27211,1.3874,0.000755,0.000755,0.000755
42,4111.43,1.54084,1.3392,1.36742,0.61157,0.41438,0.4804,0.23681,1.64663,1.25059,1.37859,0.000742625,0.000742625,0.000742625
43,4205.36,1.54014,1.32614,1.35817,0.58122,0.47843,0.48832,0.24169,1.62235,1.26615,1.37899,0.00073025,0.00073025,0.00073025
44,4299.7,1.5421,1.3136,1.35858,0.56722,0.45174,0.47634,0.23715,1.62932,1.26712,1.38519,0.000717875,0.000717875,0.000717875
45,4392.93,1.52249,1.32163,1.35009,0.59816,0.42531,0.46372,0.23505,1.62885,1.26843,1.3639,0.0007055,0.0007055,0.0007055
46,4487.25,1.53359,1.31356,1.35411,0.59157,0.45245,0.49272,0.24086,1.61353,1.24055,1.36954,0.000693125,0.000693125,0.000693125
47,4580.13,1.50699,1.29636,1.33502,0.61579,0.46217,0.48859,0.23625,1.64346,1.24606,1.38727,0.00068075,0.00068075,0.00068075
48,4674.14,1.52499,1.29225,1.34502,0.60297,0.47747,0.48901,0.24137,1.63209,1.24458,1.37986,0.000668375,0.000668375,0.000668375
49,4769,1.5228,1.29191,1.33905,0.62835,0.42624,0.48365,0.23197,1.64002,1.22749,1.38439,0.000656,0.000656,0.000656
50,4863.12,1.5195,1.29456,1.34641,0.62444,0.44962,0.50152,0.25228,1.60893,1.23636,1.36346,0.000643625,0.000643625,0.000643625
51,4973.23,1.50281,1.27206,1.32983,0.573,0.46128,0.48581,0.24137,1.6185,1.23664,1.36342,0.00063125,0.00063125,0.00063125
52,5067.29,1.50221,1.27963,1.3271,0.68575,0.42576,0.4937,0.23958,1.60929,1.25658,1.3596,0.000618875,0.000618875,0.000618875
53,5161.52,1.49958,1.25649,1.32733,0.6019,0.47614,0.4838,0.24736,1.62347,1.23131,1.36421,0.0006065,0.0006065,0.0006065
54,5294.01,1.48076,1.24664,1.31664,0.62343,0.44785,0.49279,0.24211,1.63682,1.24766,1.37307,0.000594125,0.000594125,0.000594125
55,5387.42,1.48503,1.24305,1.31966,0.64042,0.47548,0.49706,0.24935,1.61871,1.22255,1.39567,0.00058175,0.00058175,0.00058175
56,5481.57,1.46369,1.22331,1.31121,0.64604,0.44617,0.49337,0.24824,1.61766,1.21105,1.38646,0.000569375,0.000569375,0.000569375
57,5574.38,1.48115,1.23945,1.32244,0.65454,0.45119,0.49969,0.24688,1.63925,1.20556,1.37225,0.000557,0.000557,0.000557
58,5667.77,1.47841,1.22766,1.31102,0.60855,0.44401,0.49009,0.24322,1.58988,1.21151,1.35891,0.000544625,0.000544625,0.000544625
59,5761.71,1.47472,1.22898,1.30936,0.53038,0.50126,0.48749,0.24227,1.61984,1.20643,1.36361,0.00053225,0.00053225,0.00053225
60,5856.38,1.46681,1.20622,1.30088,0.60506,0.46192,0.48695,0.23703,1.63246,1.22264,1.37538,0.000519875,0.000519875,0.000519875
61,5950.23,1.47774,1.21386,1.31175,0.61057,0.47043,0.49515,0.25056,1.59105,1.209,1.36822,0.0005075,0.0005075,0.0005075
