epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.18,2.14278,2.77682,1.76316,0.31814,0.28978,0.21039,0.08979,2.03367,2.86301,1.71268,0.000415168,0.000415168,0.000415168
2,196.735,2.01442,2.28412,1.67096,0.26475,0.27646,0.19081,0.08041,2.28882,2.68262,1.89678,0.000823599,0.000823599,0.000823599
3,290.042,1.96868,2.16615,1.66927,0.34475,0.28366,0.25738,0.10619,2.07575,2.19987,1.7329,0.00122378,0.00122378,0.00122378
4,384.186,1.93512,2.0654,1.64594,0.36882,0.30581,0.26219,0.1028,2.01236,1.96204,1.65337,0.00121287,0.00121287,0.00121287
5,477.376,1.89024,2.00398,1.61781,0.41412,0.29683,0.28201,0.12788,1.97506,1.8949,1.65772,0.0012005,0.0012005,0.0012005
6,571.785,1.85604,1.9455,1.59429,0.43824,0.35922,0.31581,0.13844,1.92148,1.83294,1.58454,0.00118812,0.00118812,0.00118812
7,666.344,1.83022,1.8954,1.58883,0.4766,0.317,0.33459,0.16095,1.87272,1.74743,1.56962,0.00117575,0.00117575,0.00117575
8,759.93,1.81321,1.85281,1.55912,0.50783,0.36437,0.34336,0.15696,1.85239,1.74993,1.53279,0.00116337,0.00116337,0.00116337
9,854.298,1.78464,1.81188,1.54666,0.48592,0.35752,0.36991,0.16708,1.85869,1.68069,1.55757,0.001151,0.001151,0.001151
10,947.055,1.75876,1.75516,1.51988,0.5122,0.34479,0.36488,0.16115,1.85445,1.62976,1.53334,0.00113863,0.00113863,0.00113863
11,1040.16,1.73443,1.72629,1.50816,0.46989,0.37765,0.37192,0.17559,1.84872,1.6101,1.54327,0.00112625,0.00112625,0.00112625
12,1133.75,1.75303,1.70206,1.51783,0.4459,0.37997,0.35197,0.16222,1.81981,1.63961,1.52702,0.00111388,0.00111388,0.00111388
13,1226.93,1.7288,1.70288,1.49845,0.48047,0.37601,0.3766,0.17738,1.79355,1.60914,1.51212,0.0011015,0.0011015,0.0011015
